    end of RCAS, DRT ..........
               25             25
          25        25
          26        37
          27        58
          28        90
          29       127
          30       164
          31       189
          32       204
          33       211
       J    K   A  B  JM   J0   J1   J2   J3         Y1            Y2      Y3         X   IND
       1   25   5  0  1    26    0   27   28          0      1764      5292      7644  0 0 0 0 0 0 0 0
       2   25   5  1  1    29   30   31   32       1610      3178      5698      8736  0 0 0 0 0 0 0 0
       3    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
       4    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
       5    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
       6    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
       7    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
       8    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
       9    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      10   25   5  2  1    33   34   35   36        819      2541      3780      6510  0 0 0 0 0 0 0 0
      11    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      12    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      13    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      14    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      15    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      16    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      17    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      18   25   6  0  1    37    0   34   26          0       546      2268      4032  0 0 0 0 0 0 0 0
      19    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      20    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      21    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      22    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      23    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      24    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      25    1   0  0  0     0    0    0    0          0         0         0         0  0 0 0 0 0 0 0 0
      26   26   5  0  1    38    0   39   40          0       301      1085      1764  0 0 0 0 0 0 0 0
      27   26   4  1  2    39   40   41   42        784      1463      2450      3528  0 1 0 0 0 0 0 0
      28   26   4  0  1    40    0   42   43          0       679      1757      2352  0 2 0 0 0 0 0 0
      29   26   5  1  1    44   45   46   47        196       476       896      1610  0 0 0 0 0 0 0 0
      30   26   5  0  2    45    0   47   48          0       280       994      1568  0 1 0 0 0 0 0 0
      31   26   4  2  2    46   47   49   50        420      1134      1638      2520  0 1 0 0 0 0 0 0
      32   26   4  1  1    47   48   50   51        714      1288      2170      3038  0 2 0 0 0 0 0 0
      33   26   5  2  1    52   53   54   55         57       259       384       819  0 0 0 0 0 0 0 0
      34   26   5  1  2    53   38   55   39        202       503       938      1722  0 1 0 0 0 0 0 0
